NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
40655,INQS 018,Diseno Expe. y Analisis Datos,OO2,L,1100-1259,PALACIOS - ARIAS JOSE LUCIO,1FIQ4/202,11:00:00,12:59:00
40655,INQS 018,Diseno Expe. y Analisis Datos,OO2,A,1100-1259,PALACIOS - ARIAS JOSE LUCIO,1FIQ4/202,11:00:00,12:59:00
40655,INQS 018,Diseno Expe. y Analisis Datos,OO2,M,1000-1259,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102,10:00:00,12:59:00
40655,INQS 018,Diseno Expe. y Analisis Datos,OO2,J,1000-1259,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102,10:00:00,12:59:00
40655,INQS 018,Diseno Expe. y Analisis Datos,OO2,V,1000-1259,PALACIOS - ARIAS JOSE LUCIO,1FIQ1/102,10:00:00,12:59:00
40622,INQS 016,Ecuaciones Diferenciales,OO1,J,1500-1659,ALVARADO - FLORES MIGUEL,1FIQ1/203,15:00:00,16:59:00
40622,INQS 016,Ecuaciones Diferenciales,OO1,V,1500-1659,ALVARADO - FLORES MIGUEL,1FIQ1/203,15:00:00,16:59:00
40622,INQS 016,Ecuaciones Diferenciales,OO1,L,1500-1759,ALVARADO - FLORES MIGUEL,1FIQ1/203,15:00:00,17:59:00
40622,INQS 016,Ecuaciones Diferenciales,OO1,A,1500-1759,ALVARADO - FLORES MIGUEL,1FIQ1/203,15:00:00,17:59:00
40622,INQS 016,Ecuaciones Diferenciales,OO1,M,1500-1759,ALVARADO - FLORES MIGUEL,1FIQ1/203,15:00:00,17:59:00
41005,EMIQ 700,Emprendimiento,OO1,,-,GONZALEZ - LIMON MONTSERRAT,1FIQ1V/,#¡VALOR!,#¡VALOR!
40550,INQS 020,Fenomenos de Transporte I,OO1,A,1100-1259,AYALA - HERRERA EDGAR,1FIQ1/303,11:00:00,12:59:00
40550,INQS 020,Fenomenos de Transporte I,OO1,J,1100-1259,AYALA - HERRERA EDGAR,1FIQ1/303,11:00:00,12:59:00
40550,INQS 020,Fenomenos de Transporte I,OO1,L,1100-1359,AYALA - HERRERA EDGAR,1FIQ1/303,11:00:00,13:59:00
40550,INQS 020,Fenomenos de Transporte I,OO1,M,1100-1359,AYALA - HERRERA EDGAR,1FIQ1/303,11:00:00,13:59:00
40550,INQS 020,Fenomenos de Transporte I,OO1,V,1100-1359,AYALA - HERRERA EDGAR,1FIQ1/303,11:00:00,13:59:00
44862,INQS 011,Fisicoquimica II,OO1,J,0800-0959,REYES - AVENDANO JOSE ANDRES,12EM10/105,8:00:00,9:59:00
44862,INQS 011,Fisicoquimica II,OO1,V,0800-0959,REYES - AVENDANO JOSE ANDRES,12EM10/105,8:00:00,9:59:00
44862,INQS 011,Fisicoquimica II,OO1,L,0800-1059,REYES - AVENDANO JOSE ANDRES,12EMA5/303,8:00:00,10:59:00
44862,INQS 011,Fisicoquimica II,OO1,A,0800-1059,REYES - AVENDANO JOSE ANDRES,12EMA5/303,8:00:00,10:59:00
44862,INQS 011,Fisicoquimica II,OO1,M,0800-1059,REYES - AVENDANO JOSE ANDRES,12EMA5/303,8:00:00,10:59:00
40995,INQS 029,Fisicoquimica III,OO1,A,0700-0859,RIVERA - MORALES MARIA CATALINA,1FIQ6/106,7:00:00,8:59:00
40995,INQS 029,Fisicoquimica III,OO1,V,0700-0859,RIVERA - MORALES MARIA CATALINA,1FIQ6/106,7:00:00,8:59:00
40995,INQS 029,Fisicoquimica III,OO1,L,0700-0959,RIVERA - MORALES MARIA CATALINA,1FIQ1/206,7:00:00,9:59:00
40995,INQS 029,Fisicoquimica III,OO1,M,0700-0959,RIVERA - MORALES MARIA CATALINA,1FIQ1/206,7:00:00,9:59:00
40995,INQS 029,Fisicoquimica III,OO1,J,0700-0959,RIVERA - MORALES MARIA CATALINA,1FIQ1/206,7:00:00,9:59:00
40560,INQS 021,Flujo de Fluidos,OO1,L,1200-1359,ORTEGA - PEREZ JORGE,1FIQ1/302,12:00:00,13:59:00
40560,INQS 021,Flujo de Fluidos,OO1,M,1200-1359,ORTEGA - PEREZ JORGE,1FIQ1/302,12:00:00,13:59:00
