NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,ini ,fin ,Hora_ini,Hora_fin
42989,INQS 008,Calculo II,OO1,M,1000-1159,TEPALE - OCHOA NANCY,12EMA4/106A,1000,1159,10:00,11:59
43012,INQS 008,Calculo II,OO2,L,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,1200,1359,12:00,13:59
43012,INQS 008,Calculo II,OO2,M,1200-1359,PEREZ - AZCONA MARIA DE LOS ANGELES,12EMA4/106A,1200,1359,12:00,13:59
43014,INQS 008,Calculo II,OO3,V,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,0800,0959,08:00,09:59
43014,INQS 008,Calculo II,OO3,S,0800-0959,OJEDA - OROZCO ARZENIO SERVANDO,12EMA7/106,0800,0959,08:00,09:59
43359,INQS 008,Calculo II,OO4,A,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,1400,1459,14:00,14:59
43359,INQS 008,Calculo II,OO4,M,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,1400,1459,14:00,14:59
43359,INQS 008,Calculo II,OO4,J,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,1400,1459,14:00,14:59
43359,INQS 008,Calculo II,OO4,V,1400-1459,FLORES - OLMOS LUIS MISAEL,1FIQ1/101,1400,1459,14:00,14:59
37399,INQS 009,Calculo III,OO1,A,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1200,1259,12:00,12:59
37399,INQS 009,Calculo III,OO1,M,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1200,1259,12:00,12:59
37399,INQS 009,Calculo III,OO1,J,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1200,1259,12:00,12:59
37399,INQS 009,Calculo III,OO1,V,1200-1259,CONDE - HERNANDEZ LILIA ALEJANDRA,1FIQ1/306,1200,1259,12:00,12:59
