NRC,Clave,Materia,Secc,Dias,Hora,Profesor,Salón,Hora_ini,Hora_fin
38039,ISIQ 209,Ingenieria de Proyectos,OO2,A,1200-1259,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/103,12:00,12:59
38039,ISIQ 209,Ingenieria de Proyectos,OO2,M,1200-1259,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/103,12:00,12:59
38039,ISIQ 209,Ingenieria de Proyectos,OO2,J,1200-1259,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/103,12:00,12:59
38039,ISIQ 209,Ingenieria de Proyectos,OO2,V,1200-1259,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/103,12:00,12:59
38040,ISIQ 209,Ingenieria de Proyectos,OO3,L,1500-1559,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/206,15:00,15:59
38040,ISIQ 209,Ingenieria de Proyectos,OO3,A,1500-1559,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/206,15:00,15:59
38040,ISIQ 209,Ingenieria de Proyectos,OO3,M,1500-1559,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/206,15:00,15:59
38040,ISIQ 209,Ingenieria de Proyectos,OO3,J,1500-1559,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/206,15:00,15:59
38040,ISIQ 209,Ingenieria de Proyectos,OO3,V,1500-1559,PICHARDO - MACIAS JUAN CARLOS,1FIQ1/206,15:00,15:59
38042,ISIQ 209,Ingenieria de Proyectos,OO4,L,1700-1759,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102,17:00,17:59
38042,ISIQ 209,Ingenieria de Proyectos,OO4,A,1700-1759,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102,17:00,17:59
38042,ISIQ 209,Ingenieria de Proyectos,OO4,M,1700-1759,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102,17:00,17:59
38042,ISIQ 209,Ingenieria de Proyectos,OO4,J,1700-1759,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102,17:00,17:59
38042,ISIQ 209,Ingenieria de Proyectos,OO4,V,1700-1759,FLORES - GARCIA JOSE RAFAEL,1FIQ1/102,17:00,17:59
38044,INQS 025,Ingenieria Economica,OO1,L,0700-0759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/305,7:00,7:59
38044,INQS 025,Ingenieria Economica,OO1,M,0700-0759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/305,7:00,7:59
38044,INQS 025,Ingenieria Economica,OO1,J,0700-0759,"TORREBLANCA - RAMIREZ MAGIN
IDELFONSO",1FIQ1/305,7:00,7:59
38046,INQS 025,Ingenieria Economica,OO2,A,1100-1159,FLORES - GARCIA JOSE RAFAEL,1FIQ1/204,11:00,11:59
38046,INQS 025,Ingenieria Economica,OO2,M,1100-1159,FLORES - GARCIA JOSE RAFAEL,1FIQ1/204,11:00,11:59
38046,INQS 025,Ingenieria Economica,OO2,V,1100-1159,FLORES - GARCIA JOSE RAFAEL,1FIQ1/204,11:00,11:59
38047,INQS 025,Ingenieria Economica,OO3,L,1600-1659,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/302,16:00,16:59
38047,INQS 025,Ingenieria Economica,OO3,M,1600-1659,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/302,16:00,16:59
38047,INQS 025,Ingenieria Economica,OO3,J,1600-1659,GUTIERREZ - ORTIZ ITA-YETZY,1FIQ1/302,16:00,16:59
38049,INQS 025,Ingenieria Economica,OO4,A,1200-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,12:00,12:59
38049,INQS 025,Ingenieria Economica,OO4,M,1200-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,12:00,12:59
38049,INQS 025,Ingenieria Economica,OO4,J,1200-1259,ROMERO - TORRES LAURA MARGARITA,1FIQ1/202,12:00,12:59
